Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS)	Begin Path
142	Spectrogram 1	1	2840.148000000	2842.098000000	22.0	39.8	1.950	17.8	-56.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
143	Spectrogram 1	1	2842.058000000	2844.764000000	22.0	56.9	2.706	34.9	-54.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
144	Spectrogram 1	1	2961.040000000	2963.387000000	25.2	41.5	2.347	16.3	-57.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
145	Spectrogram 1	1	3000.915000000	3004.536000000	11.4	274.8	3.621	263.4	-52.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
146	Spectrogram 1	1	3021.525000000	3026.061000000	29.3	71.5	4.536	42.2	-58.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
147	Spectrogram 1	1	3063.589000000	3066.811000000	18.7	269.9	3.222	251.2	-51.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
148	Spectrogram 1	1	3191.849000000	3194.594000000	23.6	63.4	2.745	39.8	-55.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
149	Spectrogram 1	1	3196.385000000	3198.533000000	19.5	35.8	2.148	16.3	-51.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
150	Spectrogram 1	1	3305.976000000	3310.313000000	26.8	71.5	4.337	44.7	-54.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
151	Spectrogram 1	1	3663.835000000	3667.854000000	14.6	108.1	4.019	93.5	-52.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
152	Spectrogram 1	1	3679.281000000	3683.180000000	20.3	55.3	3.899	35.0	-52.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
153	Spectrogram 1	1	3718.631000000	3721.695000000	24.4	44.7	3.064	20.3	-50.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
154	Spectrogram 1	1	3792.294000000	3795.637000000	22.8	39.8	3.343	17.0	-48.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
155	Spectrogram 1	1	3793.727000000	3796.512000000	26.0	41.5	2.785	15.5	-50.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
156	Spectrogram 1	1	3796.700000000	3798.990000000	14.2	59.2	2.290	45.0	-46.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
157	Spectrogram 1	1	3797.908000000	3800.769000000	13.8	94.3	2.861	80.5	-49.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
158	Spectrogram 1	1	3807.931000000	3812.029000000	24.4	60.2	4.098	35.8	-50.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
159	Spectrogram 1	1	3858.708000000	3861.493000000	21.1	56.9	2.785	35.8	-47.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
160	Spectrogram 1	1	3863.164000000	3866.745000000	25.2	58.5	3.581	33.3	-48.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
161	Spectrogram 1	1	3863.761000000	3867.422000000	19.5	33.3	3.661	13.8	-47.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
162	Spectrogram 1	1	3866.904000000	3869.172000000	30.9	45.5	2.268	14.6	-53.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
163	Spectrogram 1	1	3896.435000000	3900.215000000	22.0	55.3	3.780	33.3	-49.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
164	Spectrogram 1	1	3897.668000000	3900.454000000	26.0	61.0	2.786	35.0	-49.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
165	Spectrogram 1	1	3917.841000000	3921.143000000	22.8	40.7	3.302	17.9	-57.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
166	Spectrogram 1	1	3978.406000000	3979.957000000	30.1	43.9	1.551	13.8	-56.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
167	Spectrogram 1	1	4099.536000000	4102.559000000	24.4	40.7	3.023	16.3	-56.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
168	Spectrogram 1	1	4229.924000000	4233.704000000	22.8	39.0	3.780	16.2	-56.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
169	Spectrogram 1	1	4286.530000000	4290.947000000	24.4	59.3	4.417	34.9	-54.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
170	Spectrogram 1	1	4372.002000000	4375.822000000	16.3	83.7	3.820	67.4	-51.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
171	Spectrogram 1	1	4376.140000000	4378.925000000	23.6	41.5	2.785	17.9	-58.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
172	Spectrogram 1	1	4380.247000000	4384.589000000	33.3	51.9	4.342	18.6	-57.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
173	Spectrogram 1	1	4383.867000000	4389.040000000	14.6	50.0	5.173	35.4	-55.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
174	Spectrogram 1	1	4454.180000000	4456.488000000	13.8	160.2	2.308	146.4	-59.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
175	Spectrogram 1	1	4455.772000000	4459.194000000	23.6	39.8	3.422	16.2	-53.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
176	Spectrogram 1	1	4488.843000000	4491.430000000	40.7	56.1	2.587	15.4	-57.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
177	Spectrogram 1	1	4491.629000000	4495.249000000	19.5	104.1	3.620	84.6	-55.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
178	Spectrogram 1	1	4495.886000000	4499.666000000	17.1	35.8	3.780	18.7	-54.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
179	Spectrogram 1	1	4499.705000000	4505.117000000	22.0	146.3	5.412	124.3	-54.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
180	Spectrogram 1	1	4513.273000000	4517.292000000	13.0	257.7	4.019	244.7	-54.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
181	Spectrogram 1	1	4518.207000000	4521.350000000	19.5	33.3	3.143	13.8	-51.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
182	Spectrogram 1	1	4519.162000000	4526.124000000	10.6	243.9	6.962	233.3	-53.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
183	Spectrogram 1	1	4520.196000000	4522.862000000	46.3	129.3	2.666	83.0	-51.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
184	Spectrogram 1	1	4552.432000000	4557.326000000	26.8	62.6	4.894	35.8	-57.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
185	Spectrogram 1	1	4562.698000000	4568.228000000	18.7	31.7	5.530	13.0	-54.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
186	Spectrogram 1	1	4571.769000000	4574.833000000	25.2	42.3	3.064	17.1	-56.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
187	Spectrogram 1	1	4581.636000000	4584.342000000	23.6	38.2	2.706	14.6	-57.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
188	Spectrogram 1	1	4584.859000000	4588.679000000	24.4	178.0	3.820	153.6	-54.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
189	Spectrogram 1	1	4586.769000000	4593.095000000	9.8	182.1	6.326	172.3	-56.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
190	Spectrogram 1	1	4607.308000000	4611.963000000	16.3	150.4	4.655	134.1	-60.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
191	Spectrogram 1	1	4621.313000000	4626.605000000	22.8	39.0	5.292	16.2	-58.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
192	Spectrogram 1	1	4633.567000000	4639.854000000	24.4	42.3	6.287	17.9	-58.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
193	Spectrogram 1	1	4740.931000000	4745.467000000	25.2	90.2	4.536	65.0	-56.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
194	Spectrogram 1	1	4745.467000000	4747.178000000	23.6	55.3	1.711	31.7	-51.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
195	Spectrogram 1	1	5073.326000000	5078.180000000	26.0	43.1	4.854	17.1	-51.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
196	Spectrogram 1	1	5163.422000000	5167.480000000	26.8	257.7	4.058	230.9	-62.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
197	Spectrogram 1	1	5242.934000000	5244.804000000	26.8	61.0	1.870	34.2	-52.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
198	Spectrogram 1	1	5248.623000000	5250.414000000	38.2	53.7	1.791	15.5	-56.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
199	Spectrogram 1	1	5250.016000000	5253.119000000	26.0	43.9	3.103	17.9	-46.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
200	Spectrogram 1	1	5252.562000000	5254.273000000	39.8	59.3	1.711	19.5	-49.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
201	Spectrogram 1	1	5253.020000000	5257.516000000	30.9	265.0	4.496	234.1	-58.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
202	Spectrogram 1	1	5273.789000000	5275.898000000	28.5	62.6	2.109	34.1	-54.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
203	Spectrogram 1	1	5305.528000000	5307.119000000	13.8	26.8	1.591	13.0	-54.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
204	Spectrogram 1	1	5367.167000000	5370.708000000	21.1	165.0	3.541	143.9	-57.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
205	Spectrogram 1	1	5403.581000000	5405.809000000	22.8	41.5	2.228	18.7	-52.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
206	Spectrogram 1	1	5406.843000000	5410.743000000	25.2	193.5	3.900	168.3	-55.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
207	Spectrogram 1	1	5411.658000000	5415.716000000	27.6	43.9	4.058	16.3	-57.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
208	Spectrogram 1	1	5461.082000000	5464.663000000	15.4	43.1	3.581	27.7	-50.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
209	Spectrogram 1	1	5462.793000000	5466.732000000	23.6	202.4	3.939	178.8	-56.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
210	Spectrogram 1	1	5471.944000000	5474.729000000	16.3	34.1	2.785	17.8	-47.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
211	Spectrogram 1	1	5544.923000000	5548.146000000	25.2	56.9	3.223	31.7	-53.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
212	Spectrogram 1	1	5549.817000000	5554.472000000	27.6	63.4	4.655	35.8	-59.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
213	Spectrogram 1	1	5587.743000000	5591.761000000	12.2	215.4	4.018	203.2	-55.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
214	Spectrogram 1	1	5651.610000000	5655.668000000	9.8	216.3	4.058	206.5	-55.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
215	Spectrogram 1	1	5683.568000000	5687.507000000	8.9	227.6	3.939	218.7	-56.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
216	Spectrogram 1	1	5730.247000000	5734.026000000	9.8	196.7	3.779	186.9	-57.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
217	Spectrogram 1	1	5798.889000000	5802.111000000	25.2	40.7	3.222	15.5	-56.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
218	Spectrogram 1	1	5864.148000000	5867.610000000	12.2	224.4	3.462	212.2	-53.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
219	Spectrogram 1	1	5869.679000000	5874.135000000	12.2	277.2	4.456	265.0	-56.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
220	Spectrogram 1	1	5877.955000000	5880.063000000	32.5	53.7	2.108	21.2	-56.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
221	Spectrogram 1	1	5910.827000000	5912.419000000	24.4	44.7	1.592	20.3	-58.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
222	Spectrogram 1	1	5936.331000000	5939.833000000	29.3	158.5	3.502	129.2	-57.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
223	Spectrogram 1	1	5938.400000000	5943.732000000	12.2	46.3	5.332	34.1	-47.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
224	Spectrogram 1	1	5941.782000000	5946.008000000	24.4	85.4	4.226	61.0	-51.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
225	Spectrogram 1	1	5945.053000000	5949.469000000	17.9	234.1	4.416	216.2	-57.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
226	Spectrogram 1	1	5948.873000000	5953.011000000	22.0	40.7	4.138	18.7	-53.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
227	Spectrogram 1	1	5953.050000000	5957.984000000	13.0	165.0	4.934	152.0	-55.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
228	Spectrogram 1	1	5959.655000000	5964.032000000	25.2	41.5	4.377	16.3	-54.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
229	Spectrogram 1	1	5969.403000000	5973.183000000	27.6	46.3	3.780	18.7	-56.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
230	Spectrogram 1	1	5977.122000000	5979.509000000	9.8	42.3	2.387	32.5	-51.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
231	Spectrogram 1	1	5996.706000000	6000.645000000	30.1	61.8	3.939	31.7	-56.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
232	Spectrogram 1	1	6007.568000000	6012.223000000	28.5	44.7	4.655	16.2	-56.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
233	Spectrogram 1	1	6012.143000000	6017.475000000	27.6	126.0	5.332	98.4	-61.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
234	Spectrogram 1	1	6031.918000000	6036.414000000	26.0	47.2	4.496	21.2	-57.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
235	Spectrogram 1	1	6035.140000000	6037.130000000	32.5	50.4	1.990	17.9	-55.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
236	Spectrogram 1	1	6051.422000000	6055.560000000	27.6	61.8	4.138	34.2	-59.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
237	Spectrogram 1	1	6097.496000000	6101.196000000	27.6	43.9	3.700	16.3	-58.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
238	Spectrogram 1	1	6125.256000000	6126.728000000	23.2	43.5	1.472	20.3	-59.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
239	Spectrogram 1	1	6130.388000000	6131.841000000	20.7	107.7	1.453	87.0	-53.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
240	Spectrogram 1	1	6153.008000000	6157.424000000	26.0	65.9	4.416	39.9	-54.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
241	Spectrogram 1	1	6182.260000000	6186.318000000	26.0	44.7	4.058	18.7	-58.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
242	Spectrogram 1	1	6191.968000000	6195.151000000	26.0	43.1	3.183	17.1	-57.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
243	Spectrogram 1	1	6223.886000000	6225.318000000	30.9	48.8	1.432	17.9	-56.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
244	Spectrogram 1	1	6226.870000000	6229.456000000	29.3	43.1	2.586	13.8	-57.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
245	Spectrogram 1	1	6238.528000000	6245.451000000	29.3	43.1	6.923	13.8	-56.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
246	Spectrogram 1	1	6408.286000000	6411.350000000	25.2	41.5	3.064	16.3	-59.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
247	Spectrogram 1	1	6443.984000000	6447.525000000	26.8	39.8	3.541	13.0	-59.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
248	Spectrogram 1	1	6487.440000000	6496.154000000	22.8	78.0	8.714	55.2	-54.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
249	Spectrogram 1	1	6498.461000000	6503.349000000	38.3	51.7	4.888	13.4	-59.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
250	Spectrogram 1	1	6503.102000000	6505.171000000	23.7	51.9	2.069	28.2	-53.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
251	Spectrogram 1	1	6504.589000000	6507.851000000	17.1	76.4	3.262	59.3	-50.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
252	Spectrogram 1	1	6505.026000000	6510.477000000	13.8	43.9	5.451	30.1	-49.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
253	Spectrogram 1	1	6509.085000000	6511.512000000	36.6	56.1	2.427	19.5	-55.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
254	Spectrogram 1	1	6512.148000000	6516.644000000	28.5	67.5	4.496	39.0	-53.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
255	Spectrogram 1	1	6512.904000000	6515.013000000	42.3	56.9	2.109	14.6	-52.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
256	Spectrogram 1	1	6524.841000000	6527.626000000	28.5	45.5	2.785	17.0	-54.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
257	Spectrogram 1	1	6542.236000000	6547.727000000	25.2	43.9	5.491	18.7	-57.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
258	Spectrogram 1	1	6557.077000000	6560.459000000	26.0	44.7	3.382	18.7	-58.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
259	Spectrogram 1	1	6590.936000000	6592.528000000	22.8	39.8	1.592	17.0	-54.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
260	Spectrogram 1	1	6610.759000000	6614.658000000	17.9	56.9	3.899	39.0	-58.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
261	Spectrogram 1	1	6644.785000000	6648.088000000	25.2	40.7	3.303	15.5	-56.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
262	Spectrogram 1	1	6698.228000000	6701.968000000	15.4	40.7	3.740	25.3	-58.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
263	Spectrogram 1	1	6735.430000000	6740.920000000	22.0	78.0	5.490	56.0	-50.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
264	Spectrogram 1	1	6738.692000000	6744.780000000	28.5	69.9	6.088	41.4	-44.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
265	Spectrogram 1	1	6742.432000000	6746.331000000	11.4	195.1	3.899	183.7	-47.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
266	Spectrogram 1	1	6746.172000000	6751.265000000	14.6	74.0	5.093	59.4	-49.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
267	Spectrogram 1	1	6749.236000000	6753.414000000	21.1	56.9	4.178	35.8	-49.7	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
268	Spectrogram 1	1	6750.032000000	6752.419000000	39.0	49.6	2.387	10.6	-49.4	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
269	Spectrogram 1	1	6754.138000000	6758.355000000	32.5	52.0	4.217	19.5	-59.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
270	Spectrogram 1	1	6756.605000000	6761.379000000	28.5	45.5	4.774	17.0	-56.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
271	Spectrogram 1	1	6765.955000000	6771.446000000	26.0	43.9	5.491	17.9	-56.1	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
272	Spectrogram 1	1	6775.066000000	6778.249000000	22.8	56.9	3.183	34.1	-54.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
273	Spectrogram 1	1	6781.273000000	6785.093000000	22.8	56.1	3.820	33.3	-58.0	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
274	Spectrogram 1	1	6785.530000000	6787.957000000	20.3	52.0	2.427	31.7	-57.5	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
275	Spectrogram 1	1	6792.931000000	6796.750000000	20.3	52.8	3.819	32.5	-52.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
276	Spectrogram 1	1	6795.477000000	6797.307000000	26.0	43.9	1.830	17.9	-46.3	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
277	Spectrogram 1	1	6796.193000000	6798.740000000	28.5	84.6	2.547	56.1	-52.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
278	Spectrogram 1	1	6800.809000000	6803.116000000	23.6	51.2	2.307	27.6	-57.8	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
279	Spectrogram 1	1	6807.740000000	6811.440000000	15.4	56.1	3.700	40.7	-59.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
280	Spectrogram 1	1	6813.072000000	6816.493000000	24.4	40.7	3.421	16.3	-59.6	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
281	Spectrogram 1	1	6854.451000000	6859.265000000	22.0	58.5	4.814	36.5	-54.2	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
282	Spectrogram 1	1	6859.066000000	6864.617000000	23.6	58.5	5.551	34.9	-53.9	N:\ELP\SOUND FILES\GabonSounds_2015\ceb1_oct2015\CEB1_20151005_000000.wav
